"Line","Pattern","LineNumber","INDEX"
" PASSED: AlternateParts_Scenario5Test(""6086226"") [6m 4s]","PASSED:","12090","1"
" PASSED: AlternatePartsShopProfileTest(""6844309"") [5m 12s]","PASSED:","12091","1"
" FAILED: CurrencyFieldsInProfiles(""5146039"") [57s 994ms]","FAILED:","12092","1"
" FAILED: CustomManualEntriesShopProfile_DRPTest(""5326783"") [56s 946ms]","FAILED:","12110","1"
" PASSED: CustomManualEntriesShopProfile_HomeProfileTest(""5459038"") [2m 56s]","PASSED:","12128","1"
" PASSED: CustomManualEntriesShopProfile_UserCreatedProfileTest(""5459040"") [3m 15s]","PASSED:","12129","1"
" PASSED: MandatoryFieldsStaffProfileTest(""5454791"") [8m 16s]","PASSED:","12131","1"
" FAILED: PaintAndMaterialsAndRefinishRatesShopProfile(""5326782"") [5m 58s]","FAILED:","12132","1"
" PASSED: PDR_NewVendorAndDeleteVendorTest(""6887414"") [4m 6s]","PASSED:","12270","1"
" FAILED: PXNPartsReplacePXNOESurplusBlockTheAdjustmentOnThePartSlideOutTest(""6940414"") [54s 59ms]","FAILED:","12271","1"
" PASSED: PXNPartsReplacePXNReconditionedBlockTheAdjustmentOnThePartSlideOutTest(""6939143"") [5m 37s]","PASSED:","12287","1"
" PASSED: PXNPartsReplacePXNRemanBlockTheAdjustmentOnThePartSlideOutTest(""6940413"") [5m 36s]","PASSED:","12288","1"
" FAILED: RatesShopProfile(""5139769"") [56s 534ms]","FAILED:","12289","1"
" FAILED: RatesTemplatesUpdateTest(""6769906"") [53s 940ms]","FAILED:","12307","1"
" FAILED: RefinishThresholdsShopProfileTest(""5326781"") [55s 379ms]","FAILED:","12323","1"
" PASSED: ShopNewOrCopyProfile(""5060719"") [4m 33s]","PASSED:","12341","1"
" FAILED: ShopNEWRateRecordDRPProfileTest(""5098487"") [2m 29s]","FAILED:","12342","1"
" FAILED: StandardManualEntriesShopProfileTest(""6024102"") [5m 32s]","FAILED:","12390","1"
" PASSED: ThresholdsShopProfileTest(""5727316"") [6m 41s]","PASSED:","12503","1"
" PASSED: CheckEasyTransitionTest(""6818477"") [53s 282ms]","PASSED:","12511","1"
" PASSED: ValidFileNumberField(""672495"") [1m 45s]","PASSED:","12512","1"
" FAILED: CustomerDatabase(""6090413"") [1m 50s]","FAILED:","12513","1"
" PASSED: RecallBulletinResolutionTest(1920,1080,""1552890"") [2m 9s]","PASSED:","12537","1"
" PASSED: Admin_DateTimeFieldManualEntryTimeValidation(""6737359"") [1m 16s]","PASSED:","12538","1"
" PASSED: ValidAccountNumberField(""672496"") [3m 46s]","PASSED:","12539","1"
